Name,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId,#,P
Georgia Tech,200:00,,35,65,9,26,6,7,85,11,27,38,25,15,12,4,15,0,0,591757,591958,5722020,,
Winthrop,200:00,,18,53,0,10,3,5,39,8,15,23,5,22,5,2,13,0,0,591958,591757,5722020,,
North Carolina,200:00,,35,76,6,28,7,9,83,17,29,46,23,10,10,6,17,0,0,591825,591683,5735259,,
Charleston So.,200:00,,20,60,5,16,8,15,53,13,21,34,10,21,7,2,10,1,0,591683,591825,5735259,,
Maine,200:00,,23,55,10,29,9,15,65,7,33,40,21,19,3,1,18,0,0,591992,591784,5734330,,
La Salle,200:00,,20,60,2,13,9,14,51,8,28,36,14,13,14,1,20,1,1,591784,591992,5734330,,
Duke,200:00,,30,70,4,20,25,35,89,18,27,45,12,11,19,6,22,1,0,591735,591874,5723719,,
Radford,200:00,,10,43,3,17,13,18,36,6,23,29,5,34,3,2,24,0,0,591874,591735,5723719,,
Florida St.,200:00,,41,88,15,38,22,31,119,28,32,60,24,9,17,10,12,0,0,591748,591653,5722490,,
North Florida,200:00,,20,59,4,21,5,11,49,9,22,31,10,26,5,0,26,1,0,591653,591748,5722490,,
Iowa St.,200:00,,30,59,10,23,26,34,96,9,39,48,25,14,12,4,12,0,0,591777,591715,5730696,,
Chicago St.,195:47,,20,68,10,33,6,12,56,13,23,36,6,18,6,1,24,1,0,591715,591777,5730696,,
Vanderbilt,200:00,,43,81,5,17,11,14,102,22,32,54,17,12,15,1,17,0,0,591940,591659,5734777,,
Lipscomb,200:00,,17,61,6,35,10,17,50,15,17,32,6,23,6,2,15,0,0,591659,591940,5734777,,
NIU,200:00,,17,48,11,27,12,19,57,7,34,41,14,24,4,5,22,0,0,591849,591909,5729032,,
Louisiana,200:00,,23,72,3,9,6,16,55,18,26,44,6,11,14,1,18,0,0,591909,591849,5729032,,
North Dakota St.,200:00,,27,67,6,13,18,23,78,12,22,34,11,10,10,2,31,2,0,591842,591984,5735690,,
Drake,200:00,,25,55,4,19,30,39,84,12,26,38,15,13,5,8,20,0,0,591984,591842,5735690,,
Kansas St.,200:00,,34,70,11,29,13,15,92,17,39,56,24,10,9,8,12,0,0,591781,592008,5722801,,
Green Bay,200:00,,19,62,4,20,3,7,45,5,20,25,8,10,4,1,19,1,0,592008,591781,5722801,,
Southern California,200:00,,22,55,1,11,23,29,68,15,33,48,12,26,9,9,15,0,1,592005,591815,5730794,,
Ole Miss,200:00,,22,74,7,23,15,21,66,20,23,43,15,16,14,3,26,1,0,591815,592005,5730794,,
Memphis,200:00,,28,69,6,18,27,39,89,25,27,52,11,22,10,3,16,0,0,591806,591814,5737130,,
Mississippi Val.,200:00,,29,76,9,28,11,18,78,16,17,33,17,21,13,4,31,3,0,591814,591806,5737130,,
Louisiana Tech,200:00,,18,47,5,16,12,20,53,11,31,42,10,25,4,5,17,1,0,591792,591838,5730588,,
Nicholls,200:00,,21,58,4,21,5,10,51,8,20,28,11,19,14,2,23,0,0,591838,591792,5730588,,
Utah,200:00,,40,64,13,28,12,16,105,9,25,34,26,11,8,3,17,0,0,591938,591906,5734732,,
Southern Utah,200:00,,20,50,5,20,7,9,52,6,17,23,10,24,4,1,16,0,0,591906,591938,5734732,,
New Mexico,200:00,,29,65,8,19,12,16,78,12,36,48,15,18,8,5,20,0,0,591835,591847,5730744,,
Northern Ariz.,200:00,,29,72,11,35,11,18,80,12,24,36,20,14,5,4,17,2,0,591847,591835,5730744,,
UTEP,200:00,,18,41,5,11,11,16,52,3,20,23,10,20,5,1,15,0,0,591925,591663,5729807,,
Tarleton St.,199:45,,18,47,5,18,8,13,49,11,23,34,12,22,8,2,17,0,0,591663,591925,5729807,,
Liberty,200:00,,29,54,13,20,6,9,77,11,24,35,22,18,5,6,21,0,0,591788,591939,5722029,,
Valparaiso,200:00,,14,42,7,25,23,32,58,5,16,21,10,14,9,2,15,0,0,591939,591788,5722029,,
Nebraska,200:00,,34,59,5,15,15,20,88,9,29,38,18,20,14,6,18,0,0,591829,591830,5736016,,
Omaha,200:00,,19,57,4,18,6,14,48,12,18,30,5,24,8,0,23,0,0,591830,591829,5736016,,
UCLA,200:00,,26,63,8,23,6,8,66,15,32,47,20,22,4,7,11,0,0,591708,591793,5731495,,
Louisville,200:00,,24,75,6,29,5,8,59,19,24,43,15,14,12,3,15,1,0,591793,591708,5731495,,
Clemson,200:00,,29,72,5,20,15,19,78,19,40,59,22,14,8,4,10,0,0,591717,591990,5736437,,
Jackson St.,200:00,,17,61,4,18,6,9,44,6,26,32,5,13,11,3,18,0,0,591990,591717,5736437,,
Boston U.,200:00,,19,50,7,16,15,18,60,8,32,40,8,17,5,6,16,0,0,591689,591846,5734500,,
Northeastern,200:00,,18,58,1,16,11,14,48,9,24,33,9,12,8,1,17,0,0,591846,591689,5734500,,
Penn St.,200:00,,30,66,11,25,19,26,90,17,27,44,20,17,12,8,13,0,0,591865,591695,5733921,,
Bucknell,200:00,,25,61,12,29,6,9,68,11,21,32,18,22,7,2,19,2,0,591695,591865,5733921,,
Army West Point,200:00,,17,48,5,17,15,21,54,7,21,28,11,12,6,2,18,1,0,591935,591725,5740531,,
Cornell,200:00,,21,46,4,9,14,17,60,5,27,32,8,15,4,1,20,2,0,591725,591935,5740531,,
Kentucky,200:00,,35,67,8,27,20,25,98,13,32,45,26,9,10,12,18,0,0,591783,591656,5734934,,
USC Upstate,200:00,,17,58,3,15,6,13,43,13,20,33,10,18,1,2,19,0,0,591656,591783,5734934,,
George Washington,200:00,,27,54,4,14,20,28,78,10,36,46,14,20,2,2,20,0,0,591753,591732,5732387,,
Delaware,200:00,,22,64,9,21,13,19,66,9,22,31,7,13,6,4,23,2,0,591732,591753,5732387,,
Duquesne,200:00,,27,58,12,31,10,17,76,5,26,31,17,10,8,3,17,1,0,591736,591999,5734343,,
Princeton,200:00,,22,65,10,33,12,13,66,17,29,46,18,18,3,1,19,1,0,591999,591736,5734343,,
Boston College,200:00,,33,70,7,17,12,17,85,17,27,44,19,11,13,5,10,0,0,591688,591785,5736465,,
Lafayette,200:00,,21,60,9,22,4,4,55,11,23,34,12,21,5,0,12,0,0,591785,591688,5736465,,
Yale,200:00,,27,66,5,14,5,15,64,17,24,41,9,15,6,3,17,0,0,591964,591817,5731182,,
Monmouth,200:00,,23,59,0,11,15,23,61,16,28,44,3,19,6,7,15,0,0,591817,591964,5731182,,
Notre Dame,200:00,,45,75,3,17,12,17,105,14,35,49,21,17,15,11,13,0,0,591997,592223,5728654,,
Mercyhurst,200:00,,23,67,5,16,10,14,61,11,19,30,7,20,6,1,20,0,0,592223,591997,5728654,,
Georgia,200:00,,32,78,7,20,25,30,96,23,36,59,18,14,13,2,17,1,0,591758,591840,5735001,,
N.C. Central,200:00,,21,58,4,15,6,13,52,3,24,27,11,21,5,2,25,1,0,591840,591758,5735001,,
Virginia Tech,200:00,,42,68,8,18,7,9,99,10,31,41,23,16,10,4,14,0,0,591944,591828,5731682,,
UNCW,200:00,,21,56,4,18,11,14,57,4,17,21,12,20,6,2,17,0,0,591828,591944,5731682,,
Charlotte,200:00,,27,57,4,18,19,28,77,13,15,28,20,21,13,1,19,0,0,591826,592009,5737296,,
Presbyterian,200:00,,23,50,5,21,12,16,63,13,22,35,13,35,7,0,24,1,0,592009,591826,5737296,,
Rhode Island,200:00,,27,72,4,17,10,16,68,22,29,51,12,16,15,10,15,0,0,591875,591977,5735836,,
Stonehill,200:00,,18,54,2,18,7,8,45,8,26,34,9,25,5,2,22,1,0,591977,591875,5735836,,
